album image,album_cover_url,album_title,album_url,album_url_copy,author,label,release_country,release_format,release_year
,http://s.pixogs.com/image/R-90-1384704-1279414558.jpeg,40oz. To Freedom,http://www.discogs.com/Sublime-40oz-To-Freedom/master/18580,/Sublime-40oz-To-Freedom/master/18580,Sublime (2),Skunk Records (2),US,"CD, Album",1992
,http://s.pixogs.com/image/R-90-1360989-1327568890.jpeg,London Zoo,http://www.discogs.com/Bug-London-Zoo/master/19318,/Bug-London-Zoo/master/19318,"Bug, The",Ninja Tune,UK,"CD, Album",2008
,http://s.pixogs.com/image/R-90-344979-1321297947.jpeg,Red Red Wine,http://www.discogs.com/UB40-Red-Red-Wine/master/87975,/UB40-Red-Red-Wine/master/87975,UB40,Virgin|DEP International,Germany,"12""",1983
,http://s.pixogs.com/image/R-90-103078-1268773045.jpeg,Black Market Clash,http://www.discogs.com/Clash-Black-Market-Clash/release/103078,/Clash-Black-Market-Clash/release/103078,"Clash, The",Epic|Nu Disk,US,"10"", Comp",1980
,http://s.pixogs.com/image/R-90-3341701-1326560691.jpeg,Próxima Estación... Esperanza,http://www.discogs.com/Manu-Chao-Pr%C3%B3xima-Estaci%C3%B3n-Esperanza/master/92319,/Manu-Chao-Pr%C3%B3xima-Estaci%C3%B3n-Esperanza/master/92319,Manu Chao,Virgin|Virgin,Europe,"CD, Album",2001
,http://s.pixogs.com/image/R-90-1382964-1262881455.jpeg,Forces Of Victory,http://www.discogs.com/Linton-Kwesi-Johnson-Forces-Of-Victory/master/106792,/Linton-Kwesi-Johnson-Forces-Of-Victory/master/106792,Linton Kwesi Johnson,Island Records|Island Records,Benelux,"LP, Album",1979
,http://s.pixogs.com/image/R-90-525689-1141753267.jpeg,Exodus,http://www.discogs.com/Bob-Marley-The-Wailers-Exodus/release/525689,/Bob-Marley-The-Wailers-Exodus/release/525689,Bob Marley & The Wailers,Island Records,UK,"LP, Album",1977
,http://s.pixogs.com/image/R-90-757561-1305743823.jpeg,Blackboard Jungle Dub,http://www.discogs.com/Upsetters-Blackboard-Jungle-Dub/master/186701,/Upsetters-Blackboard-Jungle-Dub/master/186701,"Upsetters, The",Upsetter,Jamaica,"LP, Album",1973
,http://s.pixogs.com/image/R-90-16231-1076916021.jpg,King In My Empire,http://www.discogs.com/Rhythm-Sound-w-Cornell-Campbell-King-In-My-Empire/master/2687,/Rhythm-Sound-w-Cornell-Campbell-King-In-My-Empire/master/2687,Rhythm & Sound w/|Cornell Campbell,Burial Mix,Germany,"10""",2001
,http://s.pixogs.com/image/R-90-21974-1376905873-1756.jpeg,Travelling Without Moving,http://www.discogs.com/Jamiroquai-Travelling-Without-Moving/release/21974,/Jamiroquai-Travelling-Without-Moving/release/21974,Jamiroquai,Sony Soho Square|Sony Soho Square,UK,"CD, Album",1996
,http://s.pixogs.com/image/R-90-1098385-1193689861.jpeg,Mango Walk,http://www.discogs.com/Chosen-Brothers-Bullwackies-All-Stars-Rhythm-Sound-Mango-Walk/master/1534,/Chosen-Brothers-Bullwackies-All-Stars-Rhythm-Sound-Mango-Walk/master/1534,"Chosen Brothers, The /|Bullwackies All Stars /|Rhythm & Sound",Rhythm & Sound|Wackie's,Germany,"12"", Ltd, Ora",1998
,http://s.pixogs.com/image/R-90-1491852-1223731978.jpeg,Too Much Too Young,http://www.discogs.com/Special-AKA-The-Featuring-Rico-Too-Much-Too-Young/master/8221,/Special-AKA-The-Featuring-Rico-Too-Much-Too-Young/master/8221,"Special A.K.A., The* Featuring|Rico*",Two-Tone Records,UK,"7"", EP, Sil",1980
,http://s.pixogs.com/image/R-90-540233-1358276740-9305.jpeg,Bass Culture,http://www.discogs.com/Linton-Kwesi-Johnson-Bass-Culture/master/106796,/Linton-Kwesi-Johnson-Bass-Culture/master/106796,Linton Kwesi Johnson,Island Records|Island Records,Germany,"LP, Album",1980
,http://s.pixogs.com/image/R-90-407582-1356399689-8505.jpeg,Limb By Limb,http://www.discogs.com/Cutty-Ranks-Limb-By-Limb/master/74193,/Cutty-Ranks-Limb-By-Limb/master/74193,Cutty Ranks,Fashion Records,UK,"12""",1993
,http://s.pixogs.com/image/R-90-382556-1292183692.jpeg,Specials,http://www.discogs.com/Specials-Specials/release/382556,/Specials-Specials/release/382556,Specials*,Two-Tone Records|Two-Tone Records,UK,"LP, Album",1979
,http://s.pixogs.com/image/R-90-640621-1142087905.jpeg,The Best Of UB40 - Volume 1,http://www.discogs.com/UB40-The-Best-Of-UB40-Volume-1/master/108751,/UB40-The-Best-Of-UB40-Volume-1/master/108751,UB40,DEP International,UK,"LP, Comp",1987
,http://s.pixogs.com/image/R-90-1012436-1184491022.jpeg,Red,http://www.discogs.com/Black-Uhuru-Red/master/35664,/Black-Uhuru-Red/master/35664,Black Uhuru,Island Records,Europe,"LP, Album, RE",
,http://s.pixogs.com/image/R-90-3091124-1336784621-1139.jpeg,Two Sevens Clash,http://www.discogs.com/Culture-Two-Sevens-Clash/master/109825,/Culture-Two-Sevens-Clash/master/109825,Culture,Joe Gibbs Music,Jamaica,"LP, Album",1977
,http://s.pixogs.com/image/R-90-2991739-1330776314.jpeg,Dedication,http://www.discogs.com/Zomby-Dedication/master/352910,/Zomby-Dedication/master/352910,Zomby,4AD,UK & US,"CD, Album",2011
